region,disease,incidence,lower,upper
southern africa,other_unspecified,58,16,141
western africa,other_specified,102,33,229
western africa,other_unspecified,8451,4400,16326
northern africa,other_specified,62,38,112
northern africa,other_unspecified,403,202,544
eastern asia,other_specified,109,23,205
eastern asia,other_unspecified,580,160,1178
south-central asia,other_specified,128,70,234
south-central asia,other_unspecified,3290,2107,5618
south-eastern asia,other_specified,34,12,90
south-eastern asia,other_unspecified,1029,643,1662
western asia,other_specified,21,7,57
western asia,other_unspecified,103,57,161
eastern europe,other_specified,10,3,19
eastern europe,other_unspecified,83,44,130
northern europe,other_specified,4,0,11
northern europe,other_unspecified,11,3,22
southern europe,other_specified,5,1,11
southern europe,other_unspecified,11,3,24
western europe,other_specified,5,0,11
